CID,card_number,balance,issuing_bank [varchar(20)],expiration_date [varchar(50)]
1,11,400000,DongA Bank,2025-01-18
2,22,500000,Vietcombank,2025-09-30
3,33,300000,VietinBank,2025-01-02
4,44,1500000,Agribank,2022-02-09
5,55,860000,Techcombank,2022-05-04
6,66,1250000,VietinBank,2023-06-05
7,77,2000000,DongA Bank,2025-01-18
8,201602442446746,1500000,Vietcombank,2025-09-30
9,3530096216116492,1600000,VietinBank,2025-01-02
10,3578831298708169,1000000,Agribank,2022-02-09
11,4041594075764,1500000,Techcombank,2022-05-04
12,501881178261548429,1800000,VietinBank,2023-06-05
13,6763356642765663,3000000,DongA Bank,2025-01-18
